hourly_wage,staff_role,race,education,birth_year,depression,staff_age,staff_age_new,hr_wage_new
9,(1) Aide or assistant teacher,(1) White Only,(5) Some college credit but no degree,1994,0,25,Between 20 and 40,Less than $10
NA,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(4) High school graduate,NA,NA,NA,NA,NA
16.11111111112,"(2) Teacher, instructor, or lead teacher",(1) White Only,(4) High school graduate,1996,8,23,Between 20 and 40,Between $11 and $20
24.60317460318,"(2) Teacher, instructor, or lead teacher",(1) White Only,(8) Graduate or professional degree,1968,0,51,More than 51,Between $21 and $30
107.5,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1979,5,40,Between 20 and 40,More than $31
NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1985,0,34,Between 20 and 40,Less than $10
12.75,(1) Aide or assistant teacher,NA,"(6) Associate degree (AA, AS)",1998,5,21,Between 20 and 40,Between $11 and $20
15,"(2) Teacher, instructor, or lead teacher",NA,(5) Some college credit but no degree,1976,NA,43,Between 41 and 50,Between $11 and $20
NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1950,3,69,More than 51,Between $11 and $20
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"(2) Teacher, instructor, or lead teacher",NA,"(7) Bachelor's degree (BA, BS, AB)",NA,0,NA,NA,NA
12.75,(1) Aide or assistant teacher,(1) White Only,"(6) Associate degree (AA, AS)",1998,0,21,Between 20 and 40,Between $11 and $20
10,(1) Aide or assistant teacher,(2) Black or African American Only,(5) Some college credit but no degree,1979,0,40,Between 20 and 40,Less than $10
10,(1) Aide or assistant teacher,(1) White Only,(5) Some college credit but no degree,1960,5,59,More than 51,Less than $10
11.6,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1971,4,48,Between 41 and 50,Between $11 and $20
10.5,(1) Aide or assistant teacher,(1) White Only,(1) Less than High School,1984,3,35,Between 20 and 40,NA
30.79207317074,(1) Aide or assistant teacher,(2) Black or African American Only,"(6) Associate degree (AA, AS)",1968,2,51,More than 51,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
7.41666666667,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(4) High school graduate,1995,0,24,Between 20 and 40,Less than $10
15,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1973,NA,46,Between 41 and 50,Between $11 and $20
10,"(2) Teacher, instructor, or lead teacher",NA,(5) Some college credit but no degree,1958,0,61,More than 51,Less than $10
31.32716049383,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1995,5,24,Between 20 and 40,More than $31
13,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1998,8,21,Between 20 and 40,Between $11 and $20
NA,(1) Aide or assistant teacher,NA,(8) Graduate or professional degree,1950,1,69,More than 51,NA
18.25,(1) Aide or assistant teacher,(2) Black or African American Only,"(7) Bachelor's degree (BA, BS, AB)",1995,0,24,Between 20 and 40,Between $11 and $20
25.71428571429,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1980,3,39,Between 20 and 40,Between $21 and $30
NA,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1981,2,38,Between 20 and 40,NA
14,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1980,0,39,Between 20 and 40,Between $11 and $20
11,(1) Aide or assistant teacher,(1) White Only,(5) Some college credit but no degree,1986,1,33,Between 20 and 40,Between $11 and $20
10,(1) Aide or assistant teacher,(1) White Only,(4) High school graduate,1993,0,26,Between 20 and 40,Less than $10
8.7537993921,"(2) Teacher, instructor, or lead teacher",(1) White Only,(4) High school graduate,1974,0,45,Between 41 and 50,Less than $10
8,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(5) Some college credit but no degree,1950,0,69,More than 51,Less than $10
NA,NA,NA,NA,NA,NA,NA,NA,NA
7.25,"(2) Teacher, instructor, or lead teacher",(1) White Only,(3) GED or high school equivalency,1998,0,21,Between 20 and 40,Less than $10
10.09615384616,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(5) Some college credit but no degree,1958,6,61,More than 51,NA
18.48214285715,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,"(6) Associate degree (AA, AS)",1990,5,29,Between 20 and 40,Between $11 and $20
11.87,"(2) Teacher, instructor, or lead teacher",(1) White Only,(4) High school graduate,NA,7,NA,NA,Between $11 and $20
12,(1) Aide or assistant teacher,NA,"(6) Associate degree (AA, AS)",1996,4,23,Between 20 and 40,Between $11 and $20
NA,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,"(6) Associate degree (AA, AS)",1966,1,53,More than 51,NA
3.09090909091,"(2) Teacher, instructor, or lead teacher",NA,"(7) Bachelor's degree (BA, BS, AB)",1968,0,51,More than 51,Less than $10
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1966,0,53,More than 51,NA
10,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(5) Some college credit but no degree,1975,8,44,Between 41 and 50,Less than $10
15.28,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1983,0,36,Between 20 and 40,Between $11 and $20
NA,NA,NA,NA,NA,NA,NA,NA,NA
26.26262626263,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1964,12,55,More than 51,Between $21 and $30
20.84,"(2) Teacher, instructor, or lead teacher",NA,"(7) Bachelor's degree (BA, BS, AB)",1958,2,61,More than 51,NA
8.75,"(2) Teacher, instructor, or lead teacher",(1) White Only,(1) Less than High School,1986,0,33,Between 20 and 40,Less than $10
NA,NA,NA,NA,NA,NA,NA,NA,NA
10,(1) Aide or assistant teacher,(1) White Only,(8) Graduate or professional degree,1989,2,30,Between 20 and 40,Less than $10
16,"(2) Teacher, instructor, or lead teacher",(8) Other,(5) Some college credit but no degree,1987,7,32,Between 20 and 40,Between $11 and $20
27.77777777778,"(2) Teacher, instructor, or lead teacher",(1) White Only,(8) Graduate or professional degree,1950,11,69,More than 51,Between $21 and $30
9,"(2) Teacher, instructor, or lead teacher",(8) Other,(4) High school graduate,1963,0,56,More than 51,Less than $10
14.44444444445,(1) Aide or assistant teacher,(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1994,0,25,Between 20 and 40,Between $11 and $20
9,(1) Aide or assistant teacher,(2) Black or African American Only,"(6) Associate degree (AA, AS)",1985,11,34,Between 20 and 40,Less than $10
12,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1989,1,30,Between 20 and 40,Between $11 and $20
18.33333333334,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1960,2,59,More than 51,Between $11 and $20
11,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,"(6) Associate degree (AA, AS)",1989,3,30,Between 20 and 40,Between $11 and $20
9.85,(1) Aide or assistant teacher,NA,(5) Some college credit but no degree,NA,NA,NA,NA,Less than $10
17,(1) Aide or assistant teacher,(1) White Only,(5) Some college credit but no degree,1979,3,40,Between 20 and 40,Between $11 and $20
14.509,(1) Aide or assistant teacher,(1) White Only,(5) Some college credit but no degree,1967,NA,52,More than 51,Between $11 and $20
NA,(1) Aide or assistant teacher,NA,(5) Some college credit but no degree,1998,0,21,Between 20 and 40,NA
27,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1974,0,45,Between 41 and 50,Between $21 and $30
NA,(1) Aide or assistant teacher,(3) Asian Only,(5) Some college credit but no degree,1987,3,32,Between 20 and 40,NA
20,"(2) Teacher, instructor, or lead teacher",(3) Asian Only,"(7) Bachelor's degree (BA, BS, AB)",1968,0,51,More than 51,Between $11 and $20
24.36,(1) Aide or assistant teacher,NA,"(7) Bachelor's degree (BA, BS, AB)",1979,2,40,Between 20 and 40,Between $21 and $30
NA,NA,NA,NA,NA,NA,NA,NA,NA
15.35,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,"(6) Associate degree (AA, AS)",1950,2,69,More than 51,Between $11 and $20
12.5,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1975,0,44,Between 41 and 50,Between $11 and $20
17.52136752137,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1994,5,25,Between 20 and 40,Between $11 and $20
NA,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,NA,NA,0,NA,NA,NA
21.42857142858,(1) Aide or assistant teacher,(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1991,0,28,Between 20 and 40,Between $21 and $30
NA,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1966,0,53,More than 51,NA
10,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(8) Graduate or professional degree,1985,2,34,Between 20 and 40,Less than $10
NA,NA,NA,NA,NA,NA,NA,NA,NA
16.67000000001,(1) Aide or assistant teacher,NA,"(6) Associate degree (AA, AS)",1996,0,23,Between 20 and 40,Between $11 and $20
16.5,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1960,3,59,More than 51,Between $11 and $20
16.25,"(2) Teacher, instructor, or lead teacher",(8) Other,(5) Some college credit but no degree,1960,4,59,More than 51,Between $11 and $20
NA,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(4) High school graduate,1982,2,37,Between 20 and 40,NA
10.9375,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1986,0,33,Between 20 and 40,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
10,(1) Aide or assistant teacher,(2) Black or African American Only,"(6) Associate degree (AA, AS)",1986,7,33,Between 20 and 40,Less than $10
16.10000000001,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1993,4,26,Between 20 and 40,Between $11 and $20
10,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,"(6) Associate degree (AA, AS)",1985,3,34,Between 20 and 40,Less than $10
10,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(1) Less than High School,1962,4,57,More than 51,Less than $10
15.38,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(5) Some college credit but no degree,1972,1.166666666667,47,Between 41 and 50,Between $11 and $20
12.75,(1) Aide or assistant teacher,(1) White Only,(4) High school graduate,1995,1,24,Between 20 and 40,Between $11 and $20
14.78991596639,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1991,9,28,Between 20 and 40,Between $11 and $20
20,"(2) Teacher, instructor, or lead teacher",(3) Asian Only,"(7) Bachelor's degree (BA, BS, AB)",1990,0,29,Between 20 and 40,Between $11 and $20
13.23529411765,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1960,3,59,More than 51,Between $11 and $20
12.35294117648,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,"(6) Associate degree (AA, AS)",1958,3,61,More than 51,Between $11 and $20
10,"(2) Teacher, instructor, or lead teacher",NA,(3) GED or high school equivalency,1978,0,41,Between 41 and 50,Less than $10
23.80952380953,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1962,3,57,More than 51,Between $21 and $30
58.33333333334,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1989,8,30,Between 20 and 40,More than $31
NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1987,0,32,Between 20 and 40,Between $11 and $20
7.75,(1) Aide or assistant teacher,(8) Other,(1) Less than High School,1998,10,21,Between 20 and 40,Less than $10
29.47142857143,(1) Aide or assistant teacher,(8) Other,"(7) Bachelor's degree (BA, BS, AB)",1963,0,56,More than 51,Between $21 and $30
14.92,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1958,1,61,More than 51,Between $11 and $20
19,"(2) Teacher, instructor, or lead teacher",(3) Asian Only,"(7) Bachelor's degree (BA, BS, AB)",1989,1,30,Between 20 and 40,Between $11 and $20
15.4,(1) Aide or assistant teacher,(1) White Only,(4) High school graduate,1980,3,39,Between 20 and 40,Between $11 and $20
13.5,"(2) Teacher, instructor, or lead teacher",(1) White Only,(4) High school graduate,1969,9,50,Between 41 and 50,Between $11 and $20
11,"(2) Teacher, instructor, or lead teacher",NA,(4) High school graduate,1998,1,21,Between 20 and 40,Between $11 and $20
13.54166666667,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1973,0,46,Between 41 and 50,Between $11 and $20
10.41666666667,(1) Aide or assistant teacher,(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1969,0,50,Between 41 and 50,NA
13.28,"(2) Teacher, instructor, or lead teacher",(1) White Only,(4) High school graduate,1963,1,56,More than 51,Between $11 and $20
15.68,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,"(6) Associate degree (AA, AS)",1978,3,41,Between 41 and 50,Between $11 and $20
15.68000000001,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,"(7) Bachelor's degree (BA, BS, AB)",1994,5,25,Between 20 and 40,Between $11 and $20
4.375,(1) Aide or assistant teacher,(1) White Only,(5) Some college credit but no degree,1998,7,21,Between 20 and 40,Less than $10
15.53,(1) Aide or assistant teacher,NA,(5) Some college credit but no degree,NA,NA,NA,NA,Between $11 and $20
9,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(5) Some college credit but no degree,1974,0,45,Between 41 and 50,Less than $10
11.4,"(2) Teacher, instructor, or lead teacher",(1) White Only,(4) High school graduate,1990,1,29,Between 20 and 40,Between $11 and $20
11,(1) Aide or assistant teacher,(1) White Only,"(6) Associate degree (AA, AS)",NA,3,NA,NA,Between $11 and $20
6.2875,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(3) GED or high school equivalency,1960,0,59,More than 51,Less than $10
11.49,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1966,2,53,More than 51,Between $11 and $20
18.53,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1975,0,44,Between 41 and 50,Between $11 and $20
6.875,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(8) Graduate or professional degree,1968,0,51,More than 51,Less than $10
12,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1996,0,23,Between 20 and 40,Between $11 and $20
18,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1983,3,36,Between 20 and 40,Between $11 and $20
10,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,"(6) Associate degree (AA, AS)",1989,1,30,Between 20 and 40,Less than $10
22,"(2) Teacher, instructor, or lead teacher",(3) Asian Only,"(7) Bachelor's degree (BA, BS, AB)",1996,8,23,Between 20 and 40,Between $21 and $30
11.86666666667,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,"(7) Bachelor's degree (BA, BS, AB)",1977,0,42,Between 41 and 50,Between $11 and $20
15,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1975,1,44,Between 41 and 50,Between $11 and $20
11,"(2) Teacher, instructor, or lead teacher",NA,"(6) Associate degree (AA, AS)",NA,0,NA,NA,Between $11 and $20
NA,NA,NA,NA,NA,NA,NA,NA,NA
35.80246913581,"(2) Teacher, instructor, or lead teacher",(8) Other,(8) Graduate or professional degree,1962,0,57,More than 51,More than $31
10,(1) Aide or assistant teacher,(2) Black or African American Only,(4) High school graduate,1996,0,23,Between 20 and 40,Less than $10
9.5,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1994,0,25,Between 20 and 40,Less than $10
11,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(5) Some college credit but no degree,1990,13,29,Between 20 and 40,Between $11 and $20
19.47,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(5) Some college credit but no degree,1988,1,31,Between 20 and 40,Between $11 and $20
